,metaboliteID,microbeID,edgeType,pvalue
932,2217,131,3,0
933,2217,129,3,0
934,2217,126,3,0
935,2217,125,3,0
936,2217,124,3,0
937,2217,123,3,0
938,2217,122,3,0
939,2217,121,3,0
940,2217,119,3,0
941,2217,75,3,0
942,2217,55,3,0
943,2217,54,3,0
944,2218,952,2,0
945,2218,870,2,0
946,2218,814,2,0
947,2218,812,2,0
948,2218,551,2,0
949,2218,457,2,0
950,2218,401,2,0
951,2218,339,2,0
952,2218,338,2,0
953,2218,329,2,0
954,2218,260,2,0
955,2218,153,2,0
956,2218,137,2,0
957,2219,964,2,0
958,2219,401,2,0
959,2219,159,2,0
960,2221,159,2,0
961,2222,159,2,0
962,2222,157,2,0
963,2222,153,2,0
964,2222,152,2,0
965,2222,151,2,0
966,2222,149,2,0
967,2222,126,2,0
968,2223,309,2,0
969,2223,159,2,0
970,2223,157,2,0
971,2223,153,2,0
972,2223,152,2,0
973,2223,151,2,0
974,2223,149,2,0
975,2223,126,2,0
976,2224,159,2,0
977,2224,157,2,0
978,2224,153,2,0
979,2224,152,2,0
980,2224,151,2,0
981,2224,149,2,0
982,2224,126,2,0
983,2225,159,2,0
984,2225,157,2,0
985,2225,153,2,0
986,2225,152,2,0
987,2225,151,2,0
988,2225,149,2,0
989,2226,1064,2,0
990,2226,608,2,0
991,2226,157,3,0
992,2226,153,3,0
993,2226,152,3,0
994,2227,964,2,0
995,2227,159,2,0
996,2228,76,2,0
997,2231,814,2,0
998,2231,812,2,0
999,2231,551,2,0
1000,2231,329,2,0
1001,2231,153,2,0
1002,2231,137,2,0
1003,2231,134,2,0
1004,2231,129,2,0
1005,2231,76,2,0
1006,2233,464,3,0
1007,2233,134,3,0
1008,2234,464,3,0
1009,2236,134,3,0
1010,2236,129,3,0
1011,2238,401,2,0
1012,2238,326,2,0
1013,2238,323,2,0
1014,2238,314,2,0
1015,2238,309,2,0
1016,2238,158,2,0
1017,2238,157,2,0
1018,2238,153,2,0
1019,2238,152,2,0
1020,2238,151,2,0
1021,2238,149,2,0
1022,2238,134,3,0
1023,2239,76,2,0
1024,2240,134,3,0
1025,2240,126,3,0
1026,2240,75,3,0
1027,2242,953,2,0
1028,2242,952,2,0
1029,2242,608,2,0
1030,2242,457,2,0
1031,2242,157,2,0
1032,2242,153,2,0
1033,2242,149,2,0
1034,2242,134,2,0
1035,2242,126,2,0
1036,2242,75,2,0
31,2014,464,3,0
33,2014,460,3,0
34,2014,457,3,0
35,2014,456,3,0
39,2014,401,3,0
40,2014,339,3,0
68,2014,75,3,0
157,2046,126,3,0
166,2049,126,3,0
173,2055,965,3,0
179,2055,457,3,0
190,2055,137,3,0
191,2055,135,3,0
192,2055,134,3,0
193,2055,133,3,0
194,2055,131,3,0
195,2055,129,3,0
196,2055,126,3,0
197,2055,125,3,0
198,2055,124,3,0
199,2055,123,3,0
200,2055,122,3,0
201,2055,121,3,0
202,2055,119,3,0
435,2091,608,3,0
440,2091,151,3,0
528,2107,456,3,0
619,2134,457,3,0
636,2141,952,3,0
645,2141,456,3,0
646,2141,455,3,0
649,2141,401,3,0
664,2141,126,3,0
795,2178,401,3,0
803,2178,134,3,0
806,2178,129,3,0
807,2178,126,3,0
904,2210,608,3,0
722,2011,54,2,1.59E-07
6903,2107,966,2,3.44E-05
23657,2122,457,3,3.60E-10
23654,2122,454,3,4.39E-12
23774,2125,131,3,2.95E-09
23665,2122,608,3,3.44E-05
23672,2122,878,3,1.11E-16
23631,2122,133,3,1.11E-16
785,2011,969,2,1.59E-07
24399,2133,966,3,2.95E-09
23685,2122,1064,3,3.66E-15
23628,2122,126,3,1.11E-16
7725,2122,152,2,2.25E-08
7769,2122,969,2,1.11E-16
24396,2133,953,3,1.11E-16
9033,2141,338,2,4.11E-11
24343,2133,121,3,1.59E-07
7749,2122,484,2,4.41E-13
24362,2133,161,3,1.11E-16
7736,2122,329,2,2.25E-08
31597,2240,964,3,3.60E-10
16648,2011,134,3,1.11E-16
31538,2240,54,3,6.24E-06
23796,2125,420,3,0.000778944
23653,2122,425,3,2.95E-09
23655,2122,455,3,3.33E-16
24348,2133,126,3,1.11E-16
31432,2238,456,3,1.59E-07
31574,2240,454,3,1.59E-07
24392,2133,878,3,4.39E-12
23785,2125,159,3,4.41E-13
14105,2217,969,2,0.000778944
16656,2011,158,3,3.60E-10
7722,2122,137,2,6.24E-06
23676,2122,953,3,1.11E-16
23643,2122,260,3,0.000778944
